sex,age_start,age_end,wealth_quintile,vehicle_name,value
Female,0,5,1,rice,6.9616210192264605
Female,0,5,2,rice,14.221791088010391
Female,0,5,3,rice,20.07827173344883
Female,0,5,4,rice,28.26286549281666
Female,0,5,5,rice,32.55808242962166
Female,5,15,1,rice,9.226410509613231
Female,5,15,2,rice,18.848495544005196
Female,5,15,3,rice,26.610235866724416
Female,5,15,4,rice,37.45748274640833
Female,5,15,5,rice,43.150041214810834
Female,15,125,1,rice,11.491200000000001
Female,15,125,2,rice,23.4752
Female,15,125,3,rice,33.1422
Female,15,125,4,rice,46.652100000000004
Female,15,125,5,rice,53.742000000000004
Male,0,5,1,rice,8.085246382842552
Male,0,5,2,rice,16.517228478009738
Male,0,5,3,rice,23.31896169846878
Male,0,5,4,rice,32.82457208794634
Male,0,5,5,rice,37.813049212155775
Male,5,15,1,rice,10.71557931600244
Male,5,15,2,rice,21.8906961465313
Male,5,15,3,rice,30.905203356204403
Male,5,15,4,rice,43.503226626294676
Male,5,15,5,rice,50.1145801657445
Male,15,125,1,rice,13.345912249162328
Male,15,125,2,rice,27.264163815052864
Male,15,125,3,rice,38.49144501394003
Male,15,125,4,rice,54.181881164643016
Male,15,125,5,rice,62.416111119333216
