sex,age_start,age_end,value
Female,0.0,0.01917808,0.0
Female,0.01917808,0.07671233,0.0
Female,0.07671233,0.5,0.0
Female,0.5,1.0,0.0
Female,1.0,2.0,0.0
Female,2.0,5.0,0.0
Female,5.0,10.0,0.0
Female,10.0,15.0,0.0004725484020703736
Female,15.0,20.0,0.010666092340141105
Female,20.0,25.0,0.10759803238864635
Female,25.0,30.0,0.13892476736714782
Female,30.0,35.0,0.08890092578522103
Female,35.0,40.0,0.03778496467481632
Female,40.0,45.0,0.014313659331437316
Female,45.0,50.0,0.0042122127515577595
Female,50.0,55.0,0.0005116199044398232
Female,55.0,60.0,0.0
Female,60.0,65.0,0.0
Female,65.0,70.0,0.0
Female,70.0,75.0,0.0
Female,75.0,80.0,0.0
Female,80.0,85.0,0.0
Female,85.0,90.0,0.0
Female,90.0,95.0,0.0
Female,95.0,125.0,0.0
Male,0.0,0.01917808,0.0
Male,0.01917808,0.07671233,0.0
Male,0.07671233,0.5,0.0
Male,0.5,1.0,0.0
Male,1.0,2.0,0.0
Male,2.0,5.0,0.0
Male,5.0,10.0,0.0
Male,10.0,15.0,0.0
Male,15.0,20.0,0.0
Male,20.0,25.0,0.0
Male,25.0,30.0,0.0
Male,30.0,35.0,0.0
Male,35.0,40.0,0.0
Male,40.0,45.0,0.0
Male,45.0,50.0,0.0
Male,50.0,55.0,0.0
Male,55.0,60.0,0.0
Male,60.0,65.0,0.0
Male,65.0,70.0,0.0
Male,70.0,75.0,0.0
Male,75.0,80.0,0.0
Male,80.0,85.0,0.0
Male,85.0,90.0,0.0
Male,90.0,95.0,0.0
Male,95.0,125.0,0.0
